Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_069.tif,24.65611451648853,0.2140350765747747,0.8538832664489746,0.0449342988431453,0.4353962071239948
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_064.tif,25.47794483867925,0.2151296882223799,0.8655114769935608,0.0406959503889083,0.4420760586857796
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_070.tif,23.94720877735777,0.2000061110369133,0.8348850607872009,0.0491924956440925,0.494802039116621
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_071.tif,24.754159729815637,0.2168886978182564,0.8457701206207275,0.0432471632957458,0.4414112240076065
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_072.tif,25.43049719759574,0.2020941505038475,0.8420935869216919,0.0388090275228023,0.4736973702907562
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_073.tif,25.41106079114758,0.2110684127197003,0.8482847213745117,0.0403199568390846,0.4317251205444335
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_074.tif,24.55933415980943,0.195402314735651,0.8181305527687073,0.043460763990879,0.4666825719177723
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_075.tif,23.79151508808612,0.2003431505433753,0.82677161693573,0.0491359457373619,0.430672488361597
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_076.tif,22.97802677466727,0.1985746931726704,0.850369930267334,0.0546158924698829,0.5411420270800591
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_077.tif,24.104042534196665,0.2076880480458894,0.8317696452140808,0.0457638651132583,0.3943391725420951
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_078.tif,24.858151768349494,0.2056331485234069,0.8435741066932678,0.0401736088097095,0.4037637591361999
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_079.tif,24.94285791937515,0.2254554180524889,0.8517412543296814,0.0427261367440223,0.4462473019957542
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_080.tif,23.47858841854389,0.215843849935978,0.8467313051223755,0.0507454499602317,0.474055129289627
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_081.tif,23.90358304212597,0.2154066000871871,0.8305493593215942,0.0474259816110134,0.4659270823001861
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_082.tif,25.07429812235316,0.2338728997619288,0.8505814075469971,0.0402054674923419,0.4116020649671554
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_084.tif,25.012979180869728,0.2205924488786441,0.850965142250061,0.0416695959866046,0.4243894129991531
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_083.tif,22.87754550277599,0.1777623498899375,0.8333650827407837,0.0553254559636116,0.5266034372150898
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_085.tif,23.55057173930886,0.1765039760986277,0.8592880964279175,0.0519154369831085,0.4584201715886593
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_086.tif,24.784710529368496,0.2055941869940672,0.8373728394508362,0.0405656285583972,0.364372669160366
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_088.tif,24.27384504391128,0.1993836579289179,0.8406611084938049,0.0455230101943016,0.4346986278891563
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_087.tif,25.630055602987166,0.2314904981697196,0.854996383190155,0.0373166240751743,0.3864076577126979
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_089.tif,25.336251535159352,0.2184057853490826,0.8535425662994385,0.0395931638777256,0.4511325240135193
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_090.tif,23.87516965434545,0.2099573141979931,0.8525636792182922,0.0453385859727859,0.4529382340610027
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_091.tif,25.465503352908108,0.205669919545937,0.8280134797096252,0.037457849830389,0.4096929386258125
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_092.tif,25.217025794732898,0.2135600729940109,0.8672370314598083,0.0421186089515686,0.4494593366980552
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_093.tif,24.17992921572647,0.2178755208525603,0.8383724093437195,0.0479989722371101,0.4483284033834934
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_095.tif,24.09251521442349,0.226450975281912,0.8497055172920227,0.0457060262560844,0.4150670655071735
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_096.tif,24.385264453144927,0.2167477171830977,0.8351053595542908,0.0441455692052841,0.4427115850150585
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_097.tif,24.385956869975303,0.2083533517087516,0.85465407371521,0.0448882654309272,0.4874217301607132
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_098.tif,24.21172245836713,0.2186785796820737,0.8548405766487122,0.044986855238676,0.4315652318298816
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_099.tif,24.782061603105625,0.2157832687176171,0.8663620352745056,0.0426335744559764,0.4579779252409935
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_094.tif,25.04606676147499,0.2231092646661128,0.8281657695770264,0.0385570004582405,0.3454104341566563
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_000.tif,21.30689063279214,0.1343778785947871,0.7683883905410767,0.0648137480020523,0.7109213158488273
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_001.tif,21.173678500682733,0.1656010413336451,0.7981977462768555,0.0671461671590805,0.6858652099967003
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_002.tif,23.10761621032308,0.1250716113266413,0.7813156247138977,0.0517109632492065,0.6525852516293525
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_003.tif,22.85253517082421,0.1576002833148703,0.7851350903511047,0.0540631227195262,0.6263097703456879
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_004.tif,23.112608854571395,0.1683885441200238,0.7854418158531189,0.05025265365839,0.6283874906599521
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_005.tif,21.03679697114149,0.1169597997974043,0.7412171363830566,0.0670211464166641,0.728809243440628
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_007.tif,22.130227926291823,0.1577260550994669,0.7921997308731079,0.0567164495587348,0.6824551597237587
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_009.tif,22.311216591793595,0.1258872526283359,0.7743549942970276,0.0571179613471031,0.6857060447335244
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_008.tif,21.20624316145496,0.1538348039218797,0.7690998911857605,0.0644820481538772,0.7162575975060463
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_011.tif,21.292717869110263,0.1510567230306705,0.7883099317550659,0.0643999055027961,0.6900864139199256
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_006.tif,21.53499354926774,0.1219777698816128,0.7572168111801147,0.0622022040188312,0.7132650971412658
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_010.tif,21.630503441039725,0.1392285582858718,0.7688707113265991,0.0629185661673545,0.6872943222522736
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_012.tif,21.8510324833152,0.1461932207276247,0.7778469324111938,0.0619386248290538,0.6851367443799973
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_016.tif,23.109651085838564,0.1594103804797436,0.7923963665962219,0.0506677851080894,0.6192608177661896
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_013.tif,22.395187458108857,0.1565714896952506,0.7896599173545837,0.0584487728774547,0.6147410154342652
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_014.tif,21.42738622117588,0.1150442973801667,0.7651656270027161,0.0641310885548591,0.7406562179327011
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_015.tif,22.06913673727172,0.1486443427946357,0.7889599800109863,0.0581620447337627,0.672031719982624
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_018.tif,22.10432399147556,0.1490273492005356,0.7884499430656433,0.0601842887699604,0.6567241042852402
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_020.tif,21.050523844163912,0.1346652197332389,0.764767050743103,0.0723588019609451,0.6547543585300446
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_017.tif,21.662960677412467,0.1380418542100182,0.7784790396690369,0.0621179454028606,0.7046089112758637
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_019.tif,21.530593489203063,0.1516394422101414,0.7842746376991272,0.0640088394284248,0.6628938302397728
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_021.tif,21.46103871634425,0.1432257030709803,0.7716881036758423,0.0658087730407714,0.6774393185973168
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_022.tif,21.127730574136,0.1225365330599271,0.751618504524231,0.0663281083106994,0.7117768928408623
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_023.tif,21.5629267846272,0.1626896930143548,0.7923519015312195,0.0625511109828949,0.6670259460806847
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_024.tif,21.865689586438016,0.1336335038969091,0.7688132524490356,0.0620097815990448,0.6884915992617607
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_025.tif,21.910751399461027,0.160463058797102,0.8008753657341003,0.0620648972690105,0.650541952252388
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_026.tif,21.521841206501925,0.1260311967143575,0.7524227499961853,0.063129223883152,0.7067986786365509
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_027.tif,22.3498852315819,0.1873710548974937,0.8145719170570374,0.0574876070022583,0.6549725696444512
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_028.tif,21.63831753281574,0.1329035493260267,0.759514331817627,0.0621507354080677,0.7113080352544785
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_029.tif,22.268732442627265,0.1577234448096482,0.7807116508483887,0.058670300990343,0.6492433115839958
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_030.tif,22.66278343136606,0.1633590634295019,0.7927863001823425,0.0527608469128608,0.6405531868338585
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_032.tif,20.938061798975586,0.1483001391499886,0.7726826667785645,0.0707384645938873,0.6700980827212334
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_031.tif,22.261002958511057,0.1395700434832234,0.7725211977958679,0.0563371889293193,0.6939466461539269
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_033.tif,21.15348704463201,0.1550994084479648,0.764909565448761,0.0642112717032432,0.7016332313418389
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_034.tif,23.024596068045685,0.1476434831169261,0.7883690595626831,0.0531726665794849,0.6341724768280983
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_035.tif,20.901479143301884,0.1391865099302522,0.7739118337631226,0.0675022602081298,0.6884189292788505
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_036.tif,20.79825098575074,0.1139048432216918,0.7443218231201172,0.0705733299255371,0.7182361215353013
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_037.tif,22.43875985940429,0.1451857267163103,0.7691147923469543,0.0558790490031242,0.6685825243592263
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_038.tif,22.6913901221578,0.1177254057990959,0.76283860206604,0.0552488677203655,0.6805165007710456
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_040.tif,21.021626833606383,0.1520828478832217,0.7872801423072815,0.0686525776982307,0.6844066455960274
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_039.tif,21.9515756418437,0.1377081997274818,0.7769933342933655,0.0596745312213897,0.6672740370035172
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_041.tif,21.235054082815093,0.1207539886154088,0.7624709606170654,0.0647355839610099,0.7180896744132041
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_042.tif,21.516587925261803,0.1155305372051249,0.7605409622192383,0.0636610016226768,0.7199678361415863
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_043.tif,22.57222947826529,0.1633225294535322,0.7934243083000183,0.0536619499325752,0.6171480610966682
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_044.tif,21.289258402412187,0.1525122610521523,0.7656254768371582,0.0654008165001869,0.6729785233736039
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_045.tif,21.88219518206889,0.1227107319785996,0.7726938128471375,0.0627945363521575,0.6725869625806808
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_046.tif,21.64999245804493,0.1183857312364378,0.7523511648178101,0.0620915591716766,0.7221916899085045
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_047.tif,21.171897865826665,0.1075832067899605,0.7393113374710083,0.0662871748208999,0.7377168789505959
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_049.tif,21.98012165944373,0.1324232600138624,0.76997971534729,0.0593846216797828,0.6722384467720985
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_048.tif,21.248744543235155,0.1379328482114572,0.7755533456802368,0.0665835067629814,0.7043057382106781
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_050.tif,21.36157959874877,0.1153186324406238,0.7612706422805786,0.0634028539061546,0.7338520810008049
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_051.tif,22.74683395486987,0.1703236212020426,0.793241024017334,0.0557534806430339,0.6093247607350349
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_053.tif,21.041851332759904,0.1517628644754561,0.7822083830833435,0.0673304125666618,0.6876122310757637
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_052.tif,22.521934406050047,0.1500077612149102,0.7869741320610046,0.0543489158153533,0.6284256756305695
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_054.tif,21.876594090538816,0.1319182832292196,0.7734454274177551,0.0593542642891407,0.7056952118873596
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_055.tif,21.59681321168855,0.1487557883254422,0.7996907830238342,0.0641274377703666,0.6620066300034523
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_056.tif,22.54695033573792,0.145761221070212,0.7854382395744324,0.0550097897648811,0.667365887761116
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_059.tif,21.240413017257097,0.1202674414399558,0.750422477722168,0.0642680153250694,0.7373880073428154
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_058.tif,22.546750142483678,0.1546913799535553,0.7908626198768616,0.0553980953991413,0.6517803058028221
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_057.tif,22.006710443070293,0.1600672025939668,0.7895739078521729,0.0593242831528186,0.651176892220974
CARE,poisson_16_gauss_0.1,16.0,0.1,sticks_060.tif,21.15895711064539,0.1098167438393991,0.7327691316604614,0.0631280690431594,0.7461334422230721
