Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_071.tif,25.287552478714,0.22606039635147973,0.89800626039505,0.05191987752914429,0.13690673779929058
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_072.tif,26.24245061017632,0.2189739936359369,0.8958262205123901,0.04669985920190811,0.13443364920094608
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_073.tif,23.617233416981133,0.18809894463895305,0.8737240433692932,0.06421379745006561,0.1387788686552085
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_074.tif,24.433055972138526,0.19813531409484436,0.8701643347740173,0.058132708072662354,0.12045460900990293
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_075.tif,23.643481207055434,0.2069764547201979,0.8856840133666992,0.06366287916898727,0.12313604115042835
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_076.tif,24.80546944468702,0.23016216850309865,0.8994765877723694,0.055359192192554474,0.1486964922514744
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_077.tif,25.442640007601774,0.23477595156310777,0.9155114889144897,0.05044574290513992,0.13822948400629684
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_078.tif,26.02239884530633,0.22292606078775692,0.9111891984939575,0.04731025546789169,0.11890365888830275
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_079.tif,28.250402663325143,0.29829845621994844,0.9338774085044861,0.034677937626838684,0.1420465871458873
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_080.tif,26.395529220346067,0.265396008243394,0.9196937680244446,0.04436079412698746,0.14245282568153925
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_081.tif,24.76102012203689,0.2352320110357454,0.8981795907020569,0.055265624076128006,0.14478495829389432
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_082.tif,27.04269626833525,0.2710932213767915,0.9311003684997559,0.040695808827877045,0.1533808034961112
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_084.tif,26.379590746416977,0.24797469926914983,0.9210973978042603,0.045009322464466095,0.14414759083883838
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_083.tif,26.29340363841851,0.23216852252505035,0.8991905450820923,0.04622182622551918,0.12344895923743024
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_085.tif,26.879953734313126,0.22954505326926714,0.9185535311698914,0.041891977190971375,0.1280709005543031
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_086.tif,25.378603104503807,0.21419847009322573,0.9066320657730103,0.051084309816360474,0.13107987149851397
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_088.tif,24.780676709116065,0.20443381084982065,0.889031171798706,0.05550364404916763,0.11174075030139648
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_087.tif,27.750059938977103,0.26914485530712046,0.9330416917800903,0.037425171583890915,0.1380756600497989
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_089.tif,27.20270875239074,0.24888743012588024,0.910889208316803,0.04083314910531044,0.12689391752355733
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_090.tif,22.8593918273908,0.19346455946692873,0.8889083862304688,0.06988519430160522,0.1343806559802033
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_091.tif,25.51226377742498,0.20793789862114992,0.8886456489562988,0.05114860087633133,0.10785119801294059
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_092.tif,25.3848433562053,0.21889513763582533,0.8999037146568298,0.05150916054844856,0.14329488056246192
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_093.tif,26.159486638348714,0.26177230712549465,0.914819061756134,0.04607979208230972,0.14514835543232038
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_095.tif,26.104872242174576,0.2668214644645668,0.927937924861908,0.04533090442419052,0.1490778457286069
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_096.tif,22.20200095037945,0.19297775781040472,0.8665226697921753,0.07567131519317627,0.1359902716241777
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_097.tif,22.890536166562995,0.19551198145817913,0.8846867680549622,0.06986300647258759,0.13498891079798342
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_098.tif,22.748656772365578,0.20089708810041815,0.8863070607185364,0.07069944590330124,0.14083496711682528
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_099.tif,26.712067088550597,0.2524691377247882,0.924268901348114,0.043062858283519745,0.14151967236539348
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_094.tif,24.995338413374615,0.2135188564008777,0.8874576687812805,0.05389894172549248,0.11680423730285838
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_000.tif,21.637077292111968,0.161408982990594,0.8454544544219971,0.08042528480291367,0.2445352179929614
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_001.tif,22.184459515880796,0.19607232264970642,0.876263439655304,0.07438887655735016,0.26705720108002423
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_002.tif,20.15435394603233,0.12143979318511224,0.8199021220207214,0.096385158598423,0.21970731019973755
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_003.tif,22.52346105642429,0.17641038649035662,0.8558982014656067,0.07202854007482529,0.24158118274062873
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_004.tif,22.065315380918676,0.18284945620175588,0.8625317215919495,0.07602231949567795,0.2460376389324665
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_005.tif,22.340231799952367,0.1562049412847487,0.8311099410057068,0.07408402860164642,0.2336900683119893
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_007.tif,21.068771889606044,0.16982642182377178,0.8627793192863464,0.08577237278223038,0.25655489023774863
